,state,pop_migrated,MOE +/-,state_population,migrated_adjusted,moe_adjusted,winning_party,winner_percent_of_votes
0,Alabama,462,448,5024279,9.195349223241782e-05,8.91670227708294e-05,REPUBLICAN,0.620316431668648
1,Alaska,338,584,733391,0.00046087284954410404,0.0007963010181472093,REPUBLICAN,0.5283314327038078
2,Arizona,291,306,7151502,4.069075279570641e-05,4.2788214280021174e-05,DEMOCRAT,0.4936469061436661
3,Arkansas,0,218,3011524,0.0,7.238859793247538e-05,REPUBLICAN,0.6239572985614432
4,California,3437,1090,39538223,8.692854001051084e-05,2.7568259706562937e-05,DEMOCRAT,0.6348394689387351
5,Colorado,870,570,5773714,0.00015068290531882944,9.872328279509514e-05,DEMOCRAT,0.5501106714065329
6,Connecticut,1298,587,3605944,0.0003599612195863275,0.00016278677650013423,DEMOCRAT,0.5926073151568352
7,Delaware,0,218,989948,0.0,0.0002202135869762856,DEMOCRAT,0.5874300579364167
8,Florida,1496,680,21538187,6.9458028198938e-05,3.157183099951728e-05,REPUBLICAN,0.5121981962250404
9,Georgia,1190,617,10711908,0.0001110913200524127,5.7599449136419024e-05,DEMOCRAT,0.4947305578444627
10,Hawaii,0,218,1455271,0.0,0.00014980027774895535,DEMOCRAT,0.6314937976901742
11,Idaho,28,41,1839106,1.5224788565748793e-05,2.2293440399846448e-05,REPUBLICAN,0.6383756483190364
12,Illinois,1361,764,12812508,0.00010622432391847092,5.9629231060772804e-05,DEMOCRAT,0.5754164537667581
13,Indiana,427,302,6785528,6.292804332986321e-05,4.450648497802971e-05,REPUBLICAN,0.5702115776570512
14,Iowa,59,68,3190369,1.849315862835929e-05,2.1314148927600537e-05,REPUBLICAN,0.5280019763194579
15,Kansas,41,70,2937880,1.3955641482974117e-05,2.382670497093142e-05,REPUBLICAN,0.5621251283426474
16,Kentucky,131,135,4505836,2.9073406133734117e-05,2.996114372560386e-05,REPUBLICAN,0.6208657186929044
17,Louisiana,452,329,4657757,9.704241762719695e-05,7.063485707820309e-05,REPUBLICAN,0.5846088241400853
18,Maine,448,440,1362359,0.00032884137000599694,0.0003229692026844613,DEMOCRAT,0.5252557934577239
19,Massachusetts,2383,750,7029917,0.0003389798201031392,0.00010668689260484868,DEMOCRAT,0.6512298370286536
20,Michigan,758,430,10077331,7.52183291389357e-05,4.2670028403354026e-05,DEMOCRAT,0.5062081829082437
21,Minnesota,278,212,5706494,4.8716427284423676e-05,3.715065677804971e-05,DEMOCRAT,0.5239509930974001
22,Mississippi,265,277,2961279,8.948835959056881e-05,9.354066266636815e-05,REPUBLICAN,0.5760295457538255
23,Missouri,976,588,6154913,0.00015857250947332643,9.553343808434011e-05,REPUBLICAN,0.5679965577888949
24,Montana,4,9,1084225,3.6892711383707257e-06,8.300860061334133e-06,REPUBLICAN,0.5691846924002028
25,Nebraska,49,112,1961504,2.498083103577663e-05,5.709904236748944e-05,REPUBLICAN,0.5822416333205421
26,Nevada,0,218,3104614,0.0,7.021806897733503e-05,DEMOCRAT,0.5005678195728402
27,New Hampshire,49,81,1377529,3.557093897841715e-05,5.880093994391406e-05,DEMOCRAT,0.5270782528014766
28,New Jersey,2758,1194,9288994,0.0002969105158211966,0.0001285392153337595,DEMOCRAT,0.5733419675281298
29,New Mexico,466,736,2117522,0.00022006855182614396,0.00034757608185416726,DEMOCRAT,0.5428928584957222
30,New York,4314,1272,20201249,0.00021355115220845998,6.296640371097846e-05,DEMOCRAT,0.603918845358349
31,North Carolina,1481,798,10439388,0.00014186655386311917,7.644126264872998e-05,REPUBLICAN,0.4993433248829551
32,North Dakota,0,218,779094,0.0,0.00027981219211032303,REPUBLICAN,0.6511404873707572
33,Ohio,755,491,11799448,6.39860440929101e-05,4.161211609221042e-05,REPUBLICAN,0.5327130010087464
34,Oklahoma,185,194,3959353,4.672480579529029e-05,4.8997904455601714e-05,REPUBLICAN,0.6537327184806295
35,Oregon,172,191,4237256,4.059230785206275e-05,4.507634185897666e-05,DEMOCRAT,0.5645331865404888
36,Pennsylvania,1718,573,13002700,0.00013212640451598515,4.406777053996478e-05,DEMOCRAT,0.5000849567544814
37,Rhode Island,138,160,1097379,0.00012575418337693723,0.0001458019517413765,DEMOCRAT,0.5947619876593357
38,South Carolina,568,373,5118425,0.0001109716367827994,7.287397978870453e-05,REPUBLICAN,0.5509348091719648
39,South Dakota,250,342,886667,0.00028195478122000704,0.00038571414070896965,REPUBLICAN,0.6176938967225024
40,Tennessee,991,540,6910840,0.00014339790821376274,7.813811345654074e-05,REPUBLICAN,0.6066029416628381
41,Texas,2073,1067,29145505,7.112589059616568e-05,3.660941884520443e-05,REPUBLICAN,0.5205760360355265
42,Utah,0,218,3271616,0.0,6.663373696668558e-05,REPUBLICAN,0.5812983902991959
43,Vermont,54,125,643077,8.397128182161701e-05,0.000194377967179669,DEMOCRAT,0.6545578055250049
44,Washington,852,601,7705281,0.00011057351445067351,7.799845326860889e-05,DEMOCRAT,0.5797030113530306
45,West Virginia,324,331,1793716,0.00018063060149990298,0.00018453311449527127,REPUBLICAN,0.6863155192461606
46,Wisconsin,362,321,5893718,6.142133030457175e-05,5.446477079493793e-05,DEMOCRAT,0.4944953686142774
47,Wyoming,0,218,576851,0.0,0.00037791388070749636,REPUBLICAN,0.6949978994840271
