,state,pop_migrated_2018,pop_migrated_2019,pop_migrated_2021,18-19_avg,winning_party,winner_percent_of_votes,pct_change_pre_post_election,avg_all years,anomoly
0,Alabama,174.0,462.0,342.0,318.0,REPUBLICAN,0.620316431668648,7.547169811320755,268.5,1.2737430167597765
1,Alaska,0.0,338.0,196.0,169.0,REPUBLICAN,0.5283314327038078,15.976331360946746,183.625,1.0673927842069435
2,Arizona,204.0,291.0,674.0,247.5,DEMOCRAT,0.4936469061436661,172.32323232323233,344.5,1.9564586357039186
3,Arkansas,0.0,0.0,37.0,0.0,REPUBLICAN,0.6239572985614432,inf,51.75,0.714975845410628
4,California,3803.0,3437.0,3945.0,3620.0,DEMOCRAT,0.6348394689387351,8.977900552486188,3348.125,1.1782714205712153
5,Colorado,336.0,870.0,261.0,603.0,DEMOCRAT,0.5501106714065329,-56.71641791044776,548.75,0.475626423690205
6,Connecticut,262.0,1298.0,1102.0,780.0,DEMOCRAT,0.5926073151568352,41.28205128205128,921.5,1.1958762886597938
7,Delaware,182.0,0.0,3560.0,91.0,DEMOCRAT,0.5874300579364167,3812.0879120879126,293.875,12.113994045087196
8,Florida,1789.0,1496.0,2581.0,1642.5,REPUBLICAN,0.5121981962250404,57.138508371385086,1825.0,1.4142465753424658
9,Georgia,647.0,1190.0,1662.0,918.5,DEMOCRAT,0.4947305578444627,80.9471965160588,1022.25,1.6258253851797506
10,Hawaii,124.0,0.0,0.0,62.0,DEMOCRAT,0.6314937976901742,-100.0,106.0,0.0
11,Idaho,0.0,28.0,93.0,14.0,REPUBLICAN,0.6383756483190364,564.2857142857143,24.25,3.8350515463917527
12,Illinois,1066.0,1361.0,1736.0,1213.5,DEMOCRAT,0.5754164537667581,43.0572723526988,1499.75,1.1575262543757292
13,Indiana,146.0,427.0,159.0,286.5,REPUBLICAN,0.5702115776570512,-44.50261780104712,424.375,0.37466863033873343
14,Iowa,162.0,59.0,145.0,110.5,REPUBLICAN,0.5280019763194579,31.221719457013574,81.375,1.781874039938556
15,Kansas,0.0,41.0,503.0,20.5,REPUBLICAN,0.5621251283426474,2353.6585365853657,21.125,23.810650887573964
16,Kentucky,110.0,131.0,202.0,120.5,REPUBLICAN,0.6208657186929044,67.63485477178423,153.25,1.3181076672104404
17,Louisiana,0.0,452.0,324.0,226.0,REPUBLICAN,0.5846088241400853,43.36283185840708,328.875,0.9851767388825542
18,Maine,61.0,448.0,1028.0,254.5,DEMOCRAT,0.5252557934577239,303.92927308447935,196.375,5.234882240611076
19,Massachusetts,1664.0,2383.0,2389.0,2023.5,DEMOCRAT,0.6512298370286536,18.062762540153198,2098.25,1.1385678541641844
