,state,year,party_detailed,percent_total_votes
147,Alabama,2016,REPUBLICAN,0.6208309236440906
148,Alaska,2016,REPUBLICAN,0.5128151207753728
149,Arizona,2016,REPUBLICAN,0.4867161647232105
150,Arkansas,2016,REPUBLICAN,0.6057410216382829
151,California,2016,DEMOCRAT,0.6172639960455788
152,Colorado,2016,DEMOCRAT,0.48156980382847403
153,Connecticut,2016,DEMOCRAT,0.5456630109670987
154,Delaware,2016,DEMOCRAT,0.5335333680563419
155,District Of Columbia,2016,DEMOCRAT,0.9048388386787171
156,Florida,2016,REPUBLICAN,0.49021941416590736
157,Georgia,2016,REPUBLICAN,0.50771326054771
158,Hawaii,2016,DEMOCRAT,0.6098079805512905
159,Idaho,2016,REPUBLICAN,0.5926143236919689
160,Illinois,2016,DEMOCRAT,0.558253666987933
161,Indiana,2016,REPUBLICAN,0.5694003344841128
162,Iowa,2016,REPUBLICAN,0.5116206134467737
163,Kansas,2016,REPUBLICAN,0.5665458180583958
164,Kentucky,2016,REPUBLICAN,0.6251963855190009
165,Louisiana,2016,REPUBLICAN,0.580886846535688
166,Maine,2016,DEMOCRAT,0.4634521409730895
167,Massachusetts,2016,DEMOCRAT,0.5905006509667129
168,Michigan,2016,REPUBLICAN,0.47497564219996147
169,Minnesota,2016,DEMOCRAT,0.4644503396176695
170,Mississippi,2016,REPUBLICAN,0.5794103808883564
171,Missouri,2016,REPUBLICAN,0.5677234783816165
172,Montana,2016,REPUBLICAN,0.5646619186857719
173,Nebraska,2016,REPUBLICAN,0.5874735112712576
174,Nevada,2016,DEMOCRAT,0.4791782367811904
175,New Hampshire,2016,DEMOCRAT,0.46826262669690555
176,New Jersey,2016,DEMOCRAT,0.554530844496942
177,New Mexico,2016,DEMOCRAT,0.48255647178634103
178,New York,2016,DEMOCRAT,0.5613614259984896
179,North Carolina,2016,REPUBLICAN,0.49828094696180414
180,North Dakota,2016,REPUBLICAN,0.629556278313393
181,Ohio,2016,REPUBLICAN,0.5168765067578619
182,Oklahoma,2016,REPUBLICAN,0.6532286481962736
183,Oregon,2016,DEMOCRAT,0.5007185200286208
184,Pennsylvania,2016,REPUBLICAN,0.4857788580374602
185,Rhode Island,2016,DEMOCRAT,0.5440660657037472
186,South Carolina,2016,REPUBLICAN,0.5493933268569543
187,South Dakota,2016,REPUBLICAN,0.615307503789588
188,Tennessee,2016,REPUBLICAN,0.6072203369421462
189,Texas,2016,REPUBLICAN,0.5223468557933538
190,Utah,2016,REPUBLICAN,0.4554081658810042
191,Vermont,2016,DEMOCRAT,0.5572274212321393
192,Washington,2016,DEMOCRAT,0.5253868006182659
193,West Virginia,2016,REPUBLICAN,0.6863057481161936
194,Wisconsin,2016,REPUBLICAN,0.4721818456731012
195,Wyoming,2016,REPUBLICAN,0.6739841105460841
